Label, 1
Date_and_Time_file_created, 15-December-23 15:47:58
Radial_Offset_Adjustment, -9999 #Radial offset is in millimetre(mm) with +ve values actioning radial outward movement and -ve values actioning radial inward movement of the magnets. 
RobotTemp, 14.0000 #temperature (degrees C) the distortion code assumed the field would be observed at
ObsTemp, 14.0000 #actual temperature (degrees C) it is going to be observed at
Radial_Scale_factor, 1.0 #Radial scale factor is thermal coefficient of invar times temperature difference applied radially relative to the plate centre.
#Magnet,Label,Center_x,Center_y,rot_holdingPosition,rot_platePlacing,order,Pickup_option,Magnet_title,rePosition_magnets,ID,Index,Hexabundle,rectMag_inputOrientation
circular_magnet,Gre,404.93295151344626,377.26041284777074,90,315.3714347049433,1,TR,Gre01,[0],41710138304820,1,B,5.00418910606265
circular_magnet,Yel,176.51025855134623,199.56342441143948,270,326.4090387645098,1,TL,Yel02,[0],40700320405187,2,K,1.24864305301707
circular_magnet,Yel,493.3481131498904,379.4479980886515,90,334.206840226066,1,TR,Yel03,[0],41710131609256,3,J,4.9409905927283
circular_magnet,Yel,393.3780967180005,461.05848007504096,90,292.8878983819482,1,TR,Yel04,[0],42710971004228,4,I,4.61583479296346
circular_magnet,Gre,354.5842447694771,155.9636191535927,90,78.01593446614999,1,TR,Gre05,[0],40710122702242,5,R,4.84339835484046
circular_magnet,Gre,209.9182817728251,209.2448938391805,270,322.28325869135773,1,TL,Gre06,[0],40700273006845,6,A,2.82274659195746
circular_magnet,Gre,375.5458079266619,426.9751601325864,270,111.57898086878464,1,TL,Gre07,[0],42711139403327,7,L,1.56252089464902
circular_magnet,Yel,216.57527627189,188.7320829174683,90,134.681256030199,1,TR,Yel08,[0],40700376907197,8,C,2.47529764553691
circular_magnet,Gre,206.09011170555627,377.7579078991688,90,214.02516283663172,1,TR,Gre09,[0],42700553706663,9,D,5.25927533961579
circular_magnet,Blu,306.6801403625416,364.0475038592415,90,254.96125023627175,1,TR,Blu10,[0],42700621811787,10,T,4.12115529617595
circular_magnet,Mag,117.28928725564656,260.93960074867414,180,259.9027090283947,1,RO,Mag11,[0],40700009602233,11,S,1.90048854690192
circular_magnet,Mag,123.41200268484364,283.8340575584723,90,176.01684593925768,1,TR,Mag12,[0],42701031202535,12,G,4.24500296561191
circular_magnet,Blu,256.7057287369314,339.2673195288475,90,211.44299659819052,1,TR,Blu13,[0],42700749509217,13,E,5.27616614292369
circular_magnet,Blu,338.7669683825648,238.89726204721376,270,256.36448979676385,1,TL,Blu14,[0],40700119913421,14,M,1.60507864658488
circular_magnet,Yel,494.8651787368344,253.9376652424492,90,14.446138180261684,1,TR,Yel15,[0],41710768609361,15,Q,4.35583211925306
circular_magnet,Yel,367.0302837417622,135.0600843568053,90,75.34699021076457,1,TR,Yel16,[0],40710226002879,16,P,4.77506140024773
circular_magnet,Yel,462.3730255272755,165.75547790243522,90,43.764109221966855,1,TR,Yel17,[0],40710061907686,17,O,4.62858866855127
circular_magnet,Yel,328.6938073903321,478.56885043115005,270,91.33876943090436,1,TL,Yel18,[0],42700045812937,18,F,1.46727629410505
circular_magnet,Yel,239.92257338525744,437.5189657116111,90,238.81464614075048,1,TR,Yel19,[0],42700250208413,19,N,2.37903796768797
circular_magnet,Blu,308.9400430951543,294.35617270537216,90,167.37726540733252,1,TR,Blu20,[0],10810471,20,H,2.82215911284862
circular_magnet,Blu,336.99814324974045,314.59437799840646,90,306.77758951308743,1,TR,Blu21,[0],10843634,21,U,5.3842310793177
circular_magnet,Yel,264.50567800465785,156.29846408894565,90,112.9609029493821,1,TR,Yel22,[0],10809611,22,GS1,5.90898065291609
circular_magnet,Gre,391.41046315719575,230.09658999405815,270,225.3390397910607,1,TL,Gre23,[0],11227774,23,GS2,1.19394453555619
circular_magnet,Gre,395.2536855909564,414.5345713679204,90,301.23853047620537,1,TR,Gre24,[0],10844625,24,GS3,4.6130875005994
circular_magnet,Blu,312.1853330391305,386.3072293021211,90,262.0949222420085,1,TR,Blu25,[0],10843435,25,GS4,0.615888049826912
circular_magnet,Yel,182.8627470399691,347.2522662907013,90,199.23802608821353,1,TR,Yel26,[0],10841390,26,GS5,4.97389248570573
circular_magnet,Blu,275.35404132537997,258.79043785324353,90,141.51789172646227,1,TR,Blu27,[0],10810305,27,GS6,2.62585634224909
rectangular_magnet,R01,428.8087747706938,364.23025307174805,180,118.6233738467219,1,I,R01,[0],41710138304820,1,B,5.00418910606265
rectangular_magnet,R02,183.6030436947364,173.30447548141368,180,164.88459050179478,1,I,R02,[0],40700320405187,2,K,1.24864305301707
rectangular_magnet,R03,510.4316250367587,358.282138275943,180,141.09210490917906,1,I,R03,[0],41710131609256,3,J,4.9409905927283
rectangular_magnet,R04,417.30187012415826,448.1165688556415,180,118.41181289429596,1,I,R04,[0],42710971004228,4,I,4.61583479296346
rectangular_magnet,R05,328.94588942095714,146.87985699119452,180,250.4905794053911,1,I,R05,[0],40710122702242,5,R,4.84339835484046
rectangular_magnet,R06,235.5679023390794,218.29679777190012,180,70.56175951480316,1,I,R06,[0],40700273006845,6,A,2.82274659195746
rectangular_magnet,R07,350.3418900872807,437.20269774169446,180,292.0868999114175,1,I,R07,[0],42711139403327,7,L,1.56252089464902
rectangular_magnet,R08,243.56513210116992,192.10664693592832,180,82.87324452473712,1,I,R08,[0],40700376907197,8,C,2.47529764553691
rectangular_magnet,R09,207.3524435217425,404.9286001683372,180,2.660010057572208,1,I,R09,[0],42700553706663,9,D,5.25927533961579
rectangular_magnet,R10,332.42894028851447,355.2817008514037,180,108.8003918487735,1,I,R10,[0],42700621811787,10,T,4.12115529617595
rectangular_magnet,R11,130.46728151614116,237.14505374163127,180,151.0212580356796,1,I,R11,[0],40700009602233,11,S,1.90048854690192
rectangular_magnet,R12,133.9421737649385,308.9130427258177,180,22.776574143653537,1,I,R12,[0],42701031202535,12,G,4.24500296561191
rectangular_magnet,R13,256.2672051111741,366.46378431803754,180,359.07622641322735,1,I,R13,[0],42700749509217,13,E,5.27616614292369
rectangular_magnet,R14,364.9704909095758,246.1921511605882,180,74.44314552604379,1,I,R14,[0],40700119913421,14,M,1.60507864658488
rectangular_magnet,R15,479.3166174541657,231.61990903715173,180,214.86454736144617,1,I,R15,[0],41710768609361,15,Q,4.35583211925306
rectangular_magnet,R16,341.19834202021525,126.54240938680306,180,251.7508441060765,1,I,R16,[0],40710226002879,16,P,4.77506140024773
rectangular_magnet,R17,441.9856976077967,147.75001039104748,180,228.550037570977,1,I,R17,[0],40710061907686,17,O,4.62858866855127
rectangular_magnet,R18,301.7128308394626,482.0136877802027,180,277.2759606219075,1,I,R18,[0],42700045812937,18,F,1.46727629410505
rectangular_magnet,R19,234.02094032084128,410.9669276133221,180,192.53123446084868,1,I,R19,[0],42700250208413,19,N,2.37903796768797
rectangular_magnet,R20,336.00611521887436,291.6602981174905,180,95.68809746466104,1,I,R20,[0],10810471,20,H,2.82215911284862
rectangular_magnet,R21,364.1847326973348,315.44840036810996,180,88.20073820993866,1,I,R21,[0],10843634,21,U,5.3842310793177
rectangular_magnet,R22,245.47556780080103,136.8640897581609,180,224.39783996173605,1,I,R22,[0],10809611,22,GS1,5.90898065291609
rectangular_magnet,R23,416.43627782686497,240.7525085428915,180,66.93583727640606,1,I,R23,[0],11227774,23,GS2,1.19394453555619
rectangular_magnet,R24,416.9940492060669,398.18842228372387,180,126.93878129911138,1,I,R24,[0],10844625,24,GS3,4.6130875005994
rectangular_magnet,R25,293.5680157943986,406.1373956808736,180,316.8068308502419,1,I,R25,[0],10843435,25,GS4,0.615888049826912
rectangular_magnet,R26,184.8863891479025,374.3768837556353,180,4.266668478421934,1,I,R26,[0],10841390,26,GS5,4.97389248570573
rectangular_magnet,R27,302.223587698454,263.0174317857234,180,81.05976138334302,1,I,R27,[0],10810305,27,GS6,2.62585634224909
