PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 19 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,02 48 06.62,-31 41 49.2 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,14 19 19.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 10 29 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,H03_T080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W41690081007572,-126.16960414991000,-128.82214972482000,180.326651977545,2.46537267694697,0.795214516265088,1.67015816068188,41.4027799381888,-31.1509712515808,17.5284911375319,16.5875170247765,16.1611364759911,15.8252551951911,0.0,0.0,0.0,0.0,10.8198182468513,2.39413962428171,0.0878999978303909,19.726139079067,,,4,-141209.333969331,123402.497142739,1,-126252.39,-128755.72,-99,P,rectangular_magnet,R01,1,I,1.0,T,128.74455068406900,1.67015816068188,circular_magnet,Yel,1,TL,0.1061433244000000,0.0
2,W42691088805508,-101.50114181784100,-87.32809510263310,133.906911517085,-1.05732152196978,0.710813804989909,4.5150499802199,41.520769693667,-31.3238174412484,19.2029174306132,18.8250263957993,18.6437555179727,18.5501979033252,0.0,0.0,0.0,0.0,8.620283582009,2.54727579142383,0.0408999994397163,22.0982809185862,,,8,-114543.649231258,84339.2582778611,1,-101478.83,-87367.66,-99,P,rectangular_magnet,R02,1,I,2.0,M,-29.41993920278290,4.5150499802199,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
3,W42690789206036,-42.75294851751410,-97.4216437481208,106.334652612683,1.81571302798049,1.15685663522728,0.658856392753215,41.8130723800503,-31.2803456854579,17.6274799343266,17.3308732895189,17.2031964837487,17.0932337215668,0.0,0.0,0.0,0.0,7.58265616588106,7.01132982106435,0.0070000002160668,22.8027499577901,,,4,-48483.242108632,94163.8750865147,1,-42769.86,-97353.98,-99,P,rectangular_magnet,R03,1,I,3.0,E,165.96730668979900,0.658856392753215,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
4,W41680420009372,-109.93680694375200,48.21185825361700,120.022979925993,-0.633548150010125,-0.413416476165013,6.06305363333447,41.4748947322294,-31.9020799238747,18.2451247512277,17.7311227508407,17.526497500136,17.3854833541507,0.0,0.0,0.0,0.0,9.24536375931536,2.54202257050054,0.0441999994218349,20.9998944441544,,,8,-124911.390516155,-46348.0627956828,1,-109911.48,48218.07,-99,P,rectangular_magnet,R04,1,I,4.0,O,-53.70036488609870,6.06305363333447,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
5,W41680251313642,-77.32357611765740,-35.187294068037300,84.9444116151881,-0.78428720400764,0.427340294338775,5.07155780883317,41.6387782976454,-31.5458097644085,16.8039190142539,16.3699264544175,16.1694862174486,16.0578376617531,0.0,0.0,0.0,0.0,9.2254786335681,5.66418064502292,0.02449999935925,21.3784866144039,,,8,-87873.7047321391,34168.993243679,1,-77305.47,-35205.36,-99,P,rectangular_magnet,R05,1,I,5.0,S,-45.06365328424650,5.07155780883317,circular_magnet,Blu,1,TR,0.0255775173599999,0.0
6,W41680124305630,-51.86344000139420,121.06291793551600,131.684426365377,0.0485822317118068,-1.16645651157178,1.21503874328358,41.7670690987208,-32.2129425109611,18.1155841150157,17.7973484227577,17.6532910536047,17.545535111433,0.0,0.0,0.0,0.0,8.46345750299497,2.69238624800618,0.023199999704957,21.1909099226406,,,4,-58879.9836890984,-116603.007477209,1,-51806.22,121065.7,-99,P,rectangular_magnet,R06,1,I,6.0,K,-92.78355683641310,1.21503874328358,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
7,W42670322113337,-10.91345022741580,208.009319984118,208.318842250232,2.72444520199646,-1.51815666421353,4.24260186620999,41.9737208640776,-32.5714203195138,16.0575275480086,15.2336365141636,14.8589255402381,14.5714458840008,0.0,0.0,0.0,0.0,10.9490760453421,4.89138764833103,0.0631000027060508,19.9236716086148,,,4,-12176.6847184626,-197618.992210119,1,-10960.77,208030.29,-99,P,rectangular_magnet,R07,1,I,7.0,D,113.9007884109360,4.24260186620999,circular_magnet,Mag,1,TR,0.05175811476,0.0
8,W43680914704035,31.923364130511300,153.06351134966700,156.353644252584,2.97912843292035,4.50728711933779,4.75502662076215,42.1882719573954,-32.3469466351258,13.6682291030572,13.0192613451392,12.6727082267212,12.395663626795,0.0,0.0,0.0,0.0,10.8045826489817,8.27974543214452,0.0224488638341426,18.8522209480487,,,8,36311.8623713606,-146887.939538432,1,31844.06,153076.51,-99,P,rectangular_magnet,R08,1,I,8.0,A,99.30851416624120,4.75502662076215,circular_magnet,Yel,1,TR,0.0803623669799998,0.0
9,W43681117707581,-7.706911042817750,82.62754070639620,82.968366768043,-0.126907545603706,-1.47875537356679,1.35184782796308,41.9893725963591,-32.0509631676393,17.2426899328635,16.9142157901926,16.7717514494014,16.6552322263727,0.0,0.0,0.0,0.0,8.52906353566817,2.84501890386169,0.016499999910593,20.4275162540817,,,4,-8639.39322284406,-79995.6758864826,1,-7625.71,82617.18,-99,P,rectangular_magnet,R09,1,I,9.0,L,-82.72873324854360,1.35184782796308,circular_magnet,Blu,1,TL,0.0818593524999998,0.0
10,W43690989405466,159.6250913443840,-86.67547659918170,181.650658114208,0.720542481463236,2.64431508641084,4.35941270223199,42.817723295766,-31.3275659648166,15.3382564015261,14.5625316694473,14.2418049106649,13.9452250503249,0.0,0.0,0.0,0.0,10.2262765629821,5.52913413906092,0.0218784678727388,19.5186919823262,,,4,178567.864843116,83492.0919514483,1,159649.95,-86653.65,-99,P,rectangular_magnet,R10,1,I,10.0,B,-131.28404314772700,4.35941270223199,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
11,W43690869503589,183.2237305016580,-49.4774451416433,189.790602575368,4.56198175675144,2.87765982818123,1.68432192857021,42.9344172722908,-31.4841827704833,17.0926575194617,16.460962972082,16.1579557018594,15.9418655226905,0.0,0.0,0.0,0.0,9.38452257981005,4.11524530381599,0.0229000002145767,20.775816293744,,,8,204940.703537721,48096.6938707738,1,183218.43,-49512.42,-99,P,rectangular_magnet,R11,1,I,11.0,Q,8.61769912246558,1.68432192857021,circular_magnet,Yel,1,TL,0.0353742283999999,0.0
12,W42690112609928,90.1970396318842,-175.74031647148500,197.529828993417,0.56430075589343,2.0452828780012,4.80220318507182,42.4708286148528,-30.9547888135271,16.7631532843304,16.2991671300969,16.0959194054308,15.9486529645176,0.0,0.0,0.0,0.0,9.24098450228332,7.67368381009034,0.0234623178839683,21.9670613136639,,,8,100169.666956733,167739.728142875,1,90247.78,-175708.2,-99,P,rectangular_magnet,R12,1,I,12.0,I,-122.33205168873600,4.80220318507182,circular_magnet,Mag,1,TR,0.0600504179599999,0.0
13,W43680958709261,23.45401689209000,49.96953007902460,55.1473098962597,3.45883379486609,4.27456176604506,5.46745733600062,42.1460853831808,-31.911373215899,18.5136318548365,18.1565002149919,17.9540484059564,17.8205357458182,0.0,0.0,0.0,0.0,8.40078656927047,4.7360420174184,0.0229000002145767,22.776452630348,,,8,26777.6965988601,-48448.3467931744,1,23380.95,49945.54,-99,P,rectangular_magnet,R13,1,I,13.0,G,71.82342151695470,5.46745733600062,circular_magnet,Blu,1,TR,0.0769044511799999,0.0
14,W42690428307499,27.576970921710700,-126.26531546669000,129.22801407522,1.29379961979578,1.78588151809027,5.7911034088851,42.1646326720177,-31.1581877526607,16.9968705342478,16.3828273963721,16.0892970179871,15.818123619054,0.0,0.0,0.0,0.0,9.37281979520451,3.14395474310252,0.0223725065588951,20.1130835070526,,,8,30969.3838760009,121771.567898681,1,27581.22,-126250.37,-99,P,rectangular_magnet,R14,1,I,14.0,P,-164.12925774992900,5.7911034088851,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
15,W42690423902963,28.25006048518310,-37.42449151777870,46.8564333075107,1.34567195263905,2.21824618857205,5.41061107124658,42.169995647043,-31.5361708742881,14.2227939367971,13.4929241965971,13.1310481795768,12.8133538482728,0.0,0.0,0.0,0.0,10.4328489491687,20.5269823955222,0.0166515205055475,21.2974244275973,,,4,32181.4162317186,36347.3824108892,1,28261.66,-37373.84,-99,P,rectangular_magnet,R15,1,I,15.0,C,-167.10132349534600,5.41061107124658,circular_magnet,Blu,1,TR,0.0519627269999999,0.0
