PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 04 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,02 48 06.62,-31 41 49.9 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,16 14 00.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 30 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,H03_T078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W41690081007572,-126.16560702365200,-128.8668879035270,180.35509888886,2.4587332947751,0.795403637824625,1.66332965695047,41.4027799381888,-31.1509712515808,17.5284911375319,16.5875170247765,16.1611364759911,15.8252551951911,0.0,0.0,0.0,0.0,10.8198182468513,2.39413962428171,0.0878999978303909,19.726139079067,,,4,-141209.333969331,123447.697142739,1,-126247.95,-128799.91,-99,P,rectangular_magnet,R01,1,I,1.0,E,129.12495926109100,1.66332965695047,circular_magnet,Yel,1,TL,0.1061433244000000,0.0
2,W42691088805508,-101.41229448444800,-87.49637435055920,133.933338893951,2.2135327927102,0.711084947466883,1.50244784524331,41.520769693667,-31.3238174412484,19.2029174306132,18.8250263957993,18.6437555179727,18.5501979033252,0.0,0.0,0.0,0.0,8.620283582009,2.54727579142383,0.0408999994397163,22.0982809185862,,,8,-114543.649231258,84384.458277861,1,-101475.16,-87412.42,-99,P,rectangular_magnet,R02,1,I,2.0,N,143.17391316389900,1.50244784524331,circular_magnet,Gre,1,TL,0.10488282044,0.0
3,W42690789206036,-42.75980905176860,-97.42226051302330,106.374235940292,1.89677931318395,1.15703920457778,0.739740108606175,41.8130723800503,-31.2803456854579,17.6274799343266,17.3308732895189,17.2031964837487,17.0932337215668,0.0,0.0,0.0,0.0,7.58265616588106,7.01132982106435,0.0070000002160668,22.8027499577901,,,4,-48483.242108632,94209.0750865145,1,-42768.0,-97398.03,-99,P,rectangular_magnet,R03,1,I,3.0,T,161.32255068683700,0.739740108606175,circular_magnet,Gre,1,TR,0.0255775173599999,0.0
4,W42690112609928,90.1685858440089,-175.7959853228830,197.566777049036,0.529540189648321,2.04517868833212,4.76754680849579,42.4708286148528,-30.9547888135271,16.7631532843304,16.2991671300969,16.0959194054308,15.9486529645176,0.0,0.0,0.0,0.0,9.24098450228332,7.67368381009034,0.0234623178839683,21.9670613136639,,,8,100169.666956733,167784.928142875,1,90246.35,-175750.47,-99,P,rectangular_magnet,R04,1,I,4.0,Q,-120.340417949406,4.76754680849579,circular_magnet,Mag,1,TR,0.0901049863999998,0.0
5,W42690323907324,47.969070871168,-122.98034543709300,131.970247092307,1.0926651332292,1.94299576522228,5.4328546751865,42.2663524210613,-31.1725229450544,13.8473103769099,13.1656392743012,12.8373594427462,12.5400922217532,0.0,0.0,0.0,0.0,10.6395003823469,12.6060635304685,0.0197603367269039,19.9114114135283,,,8,53958.0471598537,118577.014417705,1,47992.98,-122934.21,-99,P,rectangular_magnet,R05,1,I,5.0,I,-152.60510055513300,5.4328546751865,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
6,W43691123708842,134.48259798672000,-154.10716313766800,204.568274937847,4.48685804617618,2.28807365191759,2.19878439425859,42.6879371212594,-31.045887314795,19.0104823494056,18.5776144580216,18.3872016287655,18.2585856720168,0.0,0.0,0.0,0.0,8.24205155285124,1.89694079659342,0.0220999997109174,21.2107580237363,,,8,149236.189404625,147196.66685633,1,134469.95,-154162.29,-99,P,rectangular_magnet,R06,1,I,6.0,J,12.921970679790300,2.19878439425859,circular_magnet,Mag,1,TL,0.05655919482,0.0
7,W41690047301042,-117.1647679662370,-0.2918043555416950,117.155213743222,-0.875979147951001,0.0025926318647915,5.40461352736379,41.4392664400638,-31.694934935704,18.0883676486948,17.4621965564389,17.2221148140123,16.9777628994408,0.0,0.0,0.0,0.0,8.90428149777452,3.62282276238376,0.0227358657866716,21.5003066770448,,,8,-132963.384545582,511.904530895407,1,-117154.82,-303.74,-99,P,rectangular_magnet,R07,1,I,7.0,P,-39.81009188094170,5.40461352736379,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
8,W41680418107605,-109.63741141540300,82.87715507685740,137.380057520726,-0.335041451568426,-0.647413680829463,0.312372229261038,41.4772056544236,-32.0493234011075,15.2606091255879,14.6374232752174,14.3591780518509,14.117844361219,0.0,0.0,0.0,0.0,10.034345688289,8.28151789492444,0.0217000003904104,20.4708476801123,,,4,-124389.122100266,-79579.8886502954,1,-109580.7,82857.41,-99,P,rectangular_magnet,R08,1,I,8.0,A,-70.80353886319240,0.312372229261038,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
9,W41680124305630,-51.88650851685170,121.01027465016600,131.635778641481,0.0385555422416743,-1.16631084142782,1.20486638366949,41.7670690987208,-32.2129425109611,18.1155841150157,17.7973484227577,17.6532910536047,17.545535111433,0.0,0.0,0.0,0.0,8.46345750299497,2.69238624800618,0.023199999704957,21.1909099226406,,,4,-58879.9836890984,-116557.807477209,1,-51804.71,121013.43,-99,P,rectangular_magnet,R09,1,I,9.0,L,-92.20906984728630,1.20486638366949,circular_magnet,Gre,1,TL,0.0818593524999998,0.0
10,W41680398402743,-106.41077483416400,180.3399505189400,209.436910049706,3.07927399093706,-1.03741623408555,4.11669022502261,41.4978945195565,-32.4544364620654,18.0632699064503,17.6645175068733,17.4641423879073,17.3441612439178,0.0,0.0,0.0,0.0,9.13111208864223,6.86784893101975,0.0414243601262569,23.0914958566776,,,8,-119713.43858023,-171135.440426781,1,-106487.53,180344.74,-99,P,rectangular_magnet,R10,1,I,10.0,G,93.57059635490110,4.11669022502261,circular_magnet,Mag,1,TR,0.0769044511799999,0.0
11,W42670322113337,-10.913051872354400,207.95403572867700,208.26125377416,2.7749530231878,-1.51813920981491,4.29309223300271,41.9737208640776,-32.5714203195138,16.0575275480086,15.2336365141636,14.8589255402381,14.5714458840008,0.0,0.0,0.0,0.0,10.9490760453421,4.89138764833103,0.0631000027060508,19.9236716086148,,,4,-12176.6847184626,-197573.792210119,1,-10961.37,207972.59,-99,P,rectangular_magnet,R11,1,I,11.0,D,111.00690342427100,4.29309223300271,circular_magnet,Mag,1,TR,0.05175811476,0.0
12,W43680914704035,31.772431821631400,153.01614481196600,156.300698256197,0.0968633775409447,4.50723109310345,1.87281759161708,42.1882719573954,-32.3469466351258,13.6682291030572,13.0192613451392,12.6727082267212,12.395663626795,0.0,0.0,0.0,0.0,10.8045826489817,8.27974543214452,0.0224488638341426,18.8522209480487,,,8,36311.8623713606,-146842.739538432,1,31841.85,153022.89,-99,P,rectangular_magnet,R12,1,I,12.0,B,-95.5498627224784,1.87281759161708,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
13,W43681117707581,-7.670565567687340,82.57506939023650,82.9186094856209,-0.174127546520611,-1.47869853220688,1.30457098568627,41.9893725963591,-32.0509631676393,17.2426899328635,16.9142157901926,16.7717514494014,16.6552322263727,0.0,0.0,0.0,0.0,8.52906353566817,2.84501890386169,0.016499999910593,20.4275162540817,,,4,-8639.39322284406,-79950.4758864827,1,-7625.83,82567.2,-99,P,rectangular_magnet,R13,1,I,13.0,M,-80.02322648740110,1.30457098568627,circular_magnet,Blu,1,TL,0.0454224428999999,0.0
14,W42690306001219,51.17944992343470,-3.602255350473230,51.2798753506617,3.80826992733916,3.07086015448294,0.737409772856228,42.2858599917107,-31.681199611326,16.5040972162615,16.0377714022951,15.8267417475556,15.6851713201489,0.0,0.0,0.0,0.0,9.31988140414042,6.74178644197095,0.0225000008940696,21.4245210408091,,,8,58366.7581266186,3616.08784032352,1,51151.65,-3624.13,-99,P,rectangular_magnet,R14,1,I,14.0,F,51.80220591687350,0.737409772856228,circular_magnet,Blu,1,TR,0.0353742283999999,0.0
15,W42690356604785,41.43532905771390,-72.99205522093660,83.9067926834753,1.21945879178247,2.08710173957537,5.41554235938669,42.2352544669106,-31.3841882946743,18.4151754583967,17.7481554672363,17.4982726860884,17.2379451386908,0.0,0.0,0.0,0.0,8.813044746217,3.52585034652044,0.0222999993711709,21.7273495233604,,,8,46929.9095217949,70740.6454036081,1,41422.31,-72969.46,-99,P,rectangular_magnet,R15,1,I,15.0,O,-159.86984205925800,5.41554235938669,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
