PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 02 27 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.000866533,-0.999693777,0,0.999693777,-0.000866533,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,14 26 24.93,+02 18 06.2 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,17 19 51.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 03 09 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,G15_T150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
9,W218010319612952,168.87949848513622,71.88974662887873,183.5412272,1.207964403,3.54418599,3.94696372,217.317219,1.995915381,18.1928124,17.69286526,17.44185491,17.28636383,0,0,0,0,9.085539294,2.829539846,0.034261379,21.19431901,0,0,8,161215.4956,-69111.32585,1,168866.74,71912.49,-99,P,rectangular_magnet,R09,1,I,9,O,-159.2112621,3.94696372,circular_magnet,Yel,1,RO,0.016734392,0.02
10,W218020468102933,44.21551304971656,32.68307927673913,54.92710896,3.945953765,3.777956607,0.167997158,216.7934251,2.161033318,19.23074248,18.73747389,18.48660119,18.45676174,0,0,0,0,8.441145322,1.854387319,0.02643,21.32135081,0,0,8,42838.07599,-31794.67199,1,44175.78,32641.81,-99,P,rectangular_magnet,R10,1,I,10,K,43.91350313038927,0.167997158,circular_magnet,Blu,1,TR,0.057287594,0
11,W217020290905934,-155.9021336,-25.32074696,157.9162113,-1.084593436,0.161549159,5.037042711,215.941256,2.411082355,15.85609675,15.37501268,15.10561126,15.00474915,0,0,0,0,10.42042747,5.163678619,0.054977641,20.18268339,0,0,4,-149752.1417,24716.41039,1,-155860.03,-25400.41,-99,P,rectangular_magnet,R11,1,I,11,D,-27.8573736,5.037042711,circular_magnet,Yel,1,TR,0.090104986,0
12,W217020364310749,-172.1549297,-120.9719144,210.4318589,-1.470409944,0.612732177,4.200043186,215.8801227,2.812338347,17.92904189,17.29919041,16.96129715,16.79579543,0,0,0,0,9.786283384,2.082419505,0.052143078,20.1349062,0,0,4,-163568.2773,115400.2645,1,-172150.05,-121020.36,-99,P,rectangular_magnet,R12,1,I,12,R,-5.751716033,4.200043186,circular_magnet,Mag,1,TR,0.048690731,0
13,W218021113510377,-82.01510465,-112.3911614,139.1229709,2.196074686,0.94015355,1.255921136,216.2550603,2.781322413,18.34885637,17.6986857,17.40671485,17.235537,0,0,0,0,9.670728286,2.598489992,0.05739329,21.01516563,0,0,4,-78832.37269,108390.6634,1,-82035.81,-112362.48,-99,P,rectangular_magnet,R13,1,I,13,Q,144.17418901195583,1.255921136,circular_magnet,Gre,1,TL,0.035374228,0
14,W217020157609973,-129.9979185,-104.8298904,167.0066234,2.391327053,0.678322405,1.713004648,216.0525483,2.747621213,16.94778866,16.13945808,15.74476829,15.5933764,0,0,0,0,10.49803759,3.86012346,0.055994421,20.31533874,0,0,4,-124600.077,100774.1923,1,-130035.78,-104794.6,-99,P,rectangular_magnet,R14,1,I,14,F,132.98705241373625,1.713004648,circular_magnet,Yel,1,RO,0.051758115,0
15,W217010070607430,-18.2150888,181.24424180333963,182.1725497,3.041715986,-1.470218684,4.511934669,216.5247154,1.535727291,17.49052595,16.55015859,16.18432668,15.93233115,0,0,0,0,10.73171738,2.212055866,0.084100001,19.51701373,0,0,4,-17890.32242,-173113.8342,1,-18291.61,181251.91,-99,P,rectangular_magnet,R15,1,I,15,G,95.72251154633702,4.511934669,circular_magnet,Yel,1,TR,0.076904451,0
16,W218021052308893,-69.68482254,-83.07882822,108.4116085,2.024454802,0.872375947,1.152078855,216.3061459,2.657673031,18.83043174,18.49883683,18.33609882,18.28391763,0,0,0,0,8.302458523,2.061063659,0.02575,21.31216855,0,0,4,-67287.01756,80445.90319,1,-69709.61,-83027.99,-99,P,rectangular_magnet,R16,1,I,16,J,154.00728405217222,1.152078855,circular_magnet,Gre,1,TL,0.056559195,0
17,W217020112812460,-121.9748653,-154.5038872,196.8506066,2.611415899,0.902436255,1.708979644,216.0899992,2.954840904,16.42791109,16.04581264,16.05562598,15.87342987,0,0,0,0,9.138451685,3.722201915,0.026054099,20.14268697,0,0,4,-116136.1911,147605.8424,1,-121988.27,-154496.03,-99,P,rectangular_magnet,R17,1,I,17,P,120.37689046180412,1.708979644,circular_magnet,Mag,1,TL,0.015537749,0
18,W217010672510594,-136.9997134,119.08061295778433,181.5343019,3.51290139,-0.715376204,4.228277595,216.0229693,1.799455462,18.18053433,17.46175443,17.08274463,16.8776996,0,0,0,0,9.889018086,2.488346588,0.056000002,20.68418347,0,0,4,-131284.9283,-113511.2675,1,-137030.54,119068.61,-99,P,rectangular_magnet,R18,1,I,18,S,68.72557648292008,4.228277595,circular_magnet,Yel,1,TR,0.03308101,0
