PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 08 07 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,01 19 03.48,-30 19 18.8 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,16 34 41.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,H01_T108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W20701078608663,-107.25626554311,-60.817755526318200,123.28822493576,-0.737784215189072,0.516098255858137,5.02930283613238,19.2355201398817,-30.0609559918597,17.7015289089879,17.3249049238795,17.0844724226582,16.984398131789,0.0,0.0,0.0,0.0,9.21324379684052,2.95723930261466,0.0375999994575977,20.9222119529664,,,8,-119549.448386736,58973.3458397077,1,-107230.09,-60841.55,-99,P,rectangular_magnet,R01,1,I,1.0,Q,-47.72807827829450,5.02930283613238,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
2,W19700099509071,-160.7155644979410,-69.28589144722770,175.023144622474,2.09204353309245,0.406596909524586,1.68544662356787,18.9780172823407,-30.0261956564853,17.0803452094289,16.2909961494274,15.9020261099841,15.6218879190862,0.0,0.0,0.0,0.0,10.8085303753556,2.95307418869801,0.089741326868534,19.8852426195565,,,8,-177745.094191002,66829.1816343222,1,-160753.86,-69219.2,-99,P,rectangular_magnet,R02,1,I,2.0,G,150.13473499616500,1.68544662356787,circular_magnet,Yel,1,TL,0.0769044511799999,0.0
3,W20710767101005,-87.86415276021200,-146.5919048594170,170.904726196398,2.43694139345202,1.03074366681347,1.40619772663855,19.3356774009209,-29.6995967980426,18.3698256516852,17.8839158125085,17.6558203225411,17.5425269131684,0.0,0.0,0.0,0.0,9.06827556794449,2.72836591311616,0.0382786132395267,21.306303569383,,,8,-96913.9073918769,140640.523642373,1,-87875.99,-146581.84,-99,P,rectangular_magnet,R03,1,I,3.0,P,130.37354323446900,1.40619772663855,circular_magnet,Yel,1,TL,0.0155377488999999,0.0
4,W20700622210425,-18.146086861184300,-95.11538979708710,96.7745059612251,1.73427237735981,1.38206800657133,0.352204370788482,19.6748459209571,-29.914606228094,18.1860630216498,17.8829973758168,17.7719003603309,17.6671094954046,0.0,0.0,0.0,0.0,8.40071507815784,4.84457047896244,0.0237118806689977,22.5521484496403,,,4,-20261.8218636957,92048.3924507555,1,-18155.86,-95056.14,-99,P,rectangular_magnet,R04,1,I,4.0,T,170.6335122511630,0.352204370788482,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
5,W20700297411965,45.16591345240580,-125.7489251910540,133.581708256784,1.14173448847386,1.91585933042823,5.50906046522521,19.9866043428005,-29.7857365204961,18.4432836932942,17.9993047409295,17.7607825148162,17.7255064971709,0.0,0.0,0.0,0.0,8.97820092259734,1.63737200541961,0.0371318161487579,20.3129162270143,,,8,50195.5814729128,121172.946367881,1,45184.81,-125707.62,-99,P,rectangular_magnet,R05,1,I,5.0,M,-155.4165675140800,5.50906046522521,circular_magnet,Gre,1,TR,0.0454224428999999,0.0
6,W20700046312341,94.59152924008820,-133.80601782399000,163.847003824765,0.782247548391441,2.18679719569477,4.87863565987626,20.227483521021,-29.7534868499965,16.8405783507029,16.2549163950301,15.9313745184925,15.7926245287547,0.0,0.0,0.0,0.0,10.242207820579,4.21573574951789,0.0577000007033348,20.6221579799572,,,4,104634.275750746,128461.371900791,1,94666.82,-133731.2,-99,P,rectangular_magnet,R06,1,I,6.0,D,-134.8194830572850,4.87863565987626,circular_magnet,Yel,1,TR,0.1061433244000000,0.0
7,W20700471108588,11.219847467942300,-59.20990262732800,60.2955374358534,-0.478183206907279,1.75874390824606,4.04625819202625,19.8204561317082,-30.067524667609,15.6488956314443,14.9095906387511,14.5473006389777,14.318201102814,0.0,0.0,0.0,0.0,10.5469176780995,3.71270970992448,0.0366019867360591,19.0009202897434,,,8,12646.0857660532,57488.8251203659,1,11265.8,-59233.72,-99,P,rectangular_magnet,R07,1,I,7.0,F,-62.6021204101819,4.04625819202625,circular_magnet,Blu,1,TR,0.05175811476,0.0
8,W21701036410084,124.73878417453900,-88.80311932073320,153.135015896527,4.28042427835386,2.52240062001262,1.75802365834123,20.376539239576,-29.9426484848518,15.8267003748395,15.1685789782861,14.8056252437853,14.5501840834446,0.0,0.0,0.0,0.0,10.3866479000101,7.87475646216896,0.0365953147411346,20.892639317554,,,4,138320.868144176,85710.8424234927,1,124705.14,-88876.1,-99,P,rectangular_magnet,R08,1,I,8.0,A,24.74975432499270,1.75802365834123,circular_magnet,Yel,1,TL,0.0803623669799998,0.0
9,W20700156707236,72.4268933474797,-33.17356847701870,79.6739510118313,-0.180122011106027,2.71237756059177,3.39068573548179,20.1237787887905,-30.179334571257,18.8971321347732,18.274623576237,18.0020511029021,17.8035240415146,0.0,0.0,0.0,0.0,9.00053639703056,3.21416014940623,0.0357999987900257,22.0528358190365,,,8,81197.0062666524,32219.7868959175,1,72446.94,-33156.89,-99,P,rectangular_magnet,R09,1,I,9.0,O,-79.6797689662161,3.39068573548179,circular_magnet,Blu,1,TR,0.0167343919199998,0.02
10,W20701214905823,-133.98993374052700,-5.334249506828700,134.068264392267,-1.01683091453817,0.0401571310596673,5.22619726158175,19.1030990416172,-30.2971863328896,18.8485501322206,18.4307330190576,18.2492476515843,18.1186176474174,0.0,0.0,0.0,0.0,8.62872963100787,3.16013944252233,0.0331999994814395,22.1721389331601,,,8,-149476.616594513,5585.2887669506,1,-133960.18,-5382.35,-99,P,rectangular_magnet,R10,1,I,10.0,J,-31.73988011853520,5.22619726158175,circular_magnet,Gre,1,TR,0.05655919482,0.0
11,W20691100509706,-71.60610261916960,153.98092173937400,169.812934748032,0.387551543807608,-1.1359223439385,1.5234738877461,19.4107975821607,-30.9739595209975,15.7513856066946,14.8983575577346,14.5259178620262,14.2557756126916,0.0,0.0,0.0,0.0,11.0408139207171,4.52986775779896,0.0586999990046024,19.4216598578161,,,4,-79936.746431682,-147365.451745435,1,-71541.53,154007.28,-99,P,rectangular_magnet,R11,1,I,11.0,C,-112.2050678039550,1.5234738877461,circular_magnet,Yel,1,TL,0.0697451148799999,0.0
12,W20700897703065,-71.54828856666250,48.213032587980600,86.2435691400982,-0.546159685485797,-0.592979250807074,0.0468195653212771,19.408789674077,-30.5278151488856,17.4351899143181,17.0242507430074,16.7695125011981,16.711028520255,0.0,0.0,0.0,0.0,9.76178370487674,3.05876711585278,0.0595000013709068,20.69485748742,,,4,-80390.5336585986,-46536.823648146,1,-71520.02,48195.85,-99,P,rectangular_magnet,R12,1,I,12.0,S,-58.707355081471400,0.0468195653212771,circular_magnet,Blu,1,TR,0.0330810095199999,0.0
13,W20700736800106,-40.271402727,105.9556,113.332221919777,0.0,-1.20800966296442,1.20800966296442,19.5643576560378,-30.774517536808,15.2517680826976,14.8738224560875,14.7007534914613,14.5958534813809,0.0,0.0,0.0,0.0,10.0755388735115,12.7794225132651,0.03568135201931,21.649253282925,,,8,-45232.1697354577,-102291.563318608,1,-40219.44,105955.6,-99,P,rectangular_magnet,R13,1,I,13.0,B,-90.0,1.20800966296442,circular_magnet,Gre,1,TL,0.0519627269999999,0.0
14,W20690680709342,11.025468483596800,160.93833138533500,161.316056456685,3.053565294355,4.64414696742195,4.69260363411264,19.8188128157704,-31.0048743907053,16.0868317864127,15.6784356049978,15.4578562158846,15.4048364454146,0.0,0.0,0.0,0.0,10.1675660403762,4.45243989251188,0.0532701835036277,20.1643006129495,,,4,12274.69636411,-154352.212299398,1,10999.99,160940.58,-99,P,rectangular_magnet,R14,1,I,14.0,I,95.04359616583560,4.69260363411264,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
15,W20690305410772,84.7462857131678,132.7634915951120,157.46002673115,3.02540773185295,4.1448640306478,5.16372900838474,20.183206538489,-30.8851469473309,18.4615767207036,18.094743676679,17.8762958587881,17.8293863424214,0.0,0.0,0.0,0.0,8.97826795556656,1.92551043605722,0.0425000004470348,20.7603477423844,,,8,94627.6776985135,-127293.810096783,1,84642.11,132775.65,-99,P,rectangular_magnet,R15,1,I,15.0,N,96.65690565857890,5.16372900838474,circular_magnet,Yel,1,TR,0.10488282044,0.0
