#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
11,W223990460106188,47.76279457502249,181.7095921441233,187.913411,0.162971873,4.454977352,1.991179829,223.1999672,-0.567704845,19.36710791,19.01410789,18.76933828,18.77418894,,,,,8.649976946,3.0135231,0.04352,22.6523552,,,8,45192.58669,-173501.2949,1,47838.68,181722.07,-99,P,rectangular_magnet,R11,1,I,11,G,-99.33760052,1.991179829,circular_magnet,Yel,1,TL,0.076904451,0
12,W223990252610474,87.73499324558603,96.06077910633186,130.0701134,3.325484695,3.97241225,5.636257752,223.3728675,-0.210539671,19.95757508,19.36677319,19.07903543,18.87349579,,,,,8.741718639,2.061795683,0.04445,22.180876,,,8,84268.05395,-92781.96562,1,87702.47,96054.73,-99,P,rectangular_magnet,R12,1,I,12,S,79.46376215148231,5.636257752,circular_magnet,Gre,1,TR,0.03308101,0
13,W223000063208899,-110.5803708,-107.4911947,154.2065711,2.195055018,0.770848012,1.424207006,222.5307262,0.658179696,16.99031893,16.53329631,16.34026258,16.25555042,,,,,9.316415719,4.530068831,0.02912949,21.05669499,,,8,-106055.8897,103548.6114,1,-110615.47,-107442.47,-99,P,rectangular_magnet,R13,1,I,13,B,144.23261166990676,1.424207006,circular_magnet,Yel,1,TL,0.060050418,0
14,W224000807309126,-21.17923052,-111.5683327,113.5127658,1.775041192,1.383021792,0.3920194,222.9106193,0.677123612,19.20441145,18.7945401,18.57118488,18.53500615,,,,,8.751669818,2.190307762,0.043389998,21.7399405,,,8,-20200.04771,107829.9363,1,-21189.77,-111517.45,-99,P,rectangular_magnet,R14,1,I,14,T,168.29763124540773,0.3920194,circular_magnet,Gre,1,TR,0.051962727,0
15,W224000501210549,38.59260274440217,-139.9855793,145.2445644,4.196054931,1.839551804,2.356503127,223.1657216,0.79570238,18.24157207,17.78409486,17.58043124,17.52153801,,,,,8.981991331,1.88033093,0.034880001,20.39814099,,,8,37453.09182,134628.7378,1,38567.05,-140030.59,-99,P,rectangular_magnet,R15,1,I,15,F,29.58376184396795,2.356503127,circular_magnet,Gre,1,TL,0.051758115,0
16,W224000110406112,115.06307474895516,-53.19608266,126.7377289,3.87924691,2.708033053,1.171213857,223.4913761,0.425942711,17.25067889,16.71400004,16.37800671,16.26517152,,,,,9.84771495,4.239033886,0.046039369,21.09320916,,,4,111051.0035,51063.05259,1,115011.46,-53242.99,-99,P,rectangular_magnet,R16,1,I,16,C,47.73552435549317,1.171213857,circular_magnet,Gre,1,TL,0.069745115,0
17,W223000228303546,-142.5714483,-2.440405818,142.5666145,-0.997054942,0.017405374,5.268724991,222.3931166,0.212122429,19.6851608,19.17260399,18.93910356,18.87344116,,,,,8.691932376,1.674215749,0.0438,21.53453578,,,8,-137155.6567,2739.669043,1,-142545.02,-2481.3,-99,P,rectangular_magnet,R17,1,I,17,R,-32.87295988,5.268724991,circular_magnet,Gre,1,TR,0.048690731,0
18,W224000985005684,-55.43631428,-44.18414558,70.91574727,3.878832752,0.672947654,3.205885098,222.762538,0.390288449,17.95214317,17.35671165,17.06081157,16.95118619,,,,,9.751278878,3.181375329,0.05590013,21.11266087,,,4,-53666.42279,43005.18944,1,-55455.25,-44201.34,-99,P,rectangular_magnet,R18,1,I,18,I,47.759253866107656,3.205885098,circular_magnet,Blu,1,TR,0.025577517,0
19,W223000213900004,-139.8855544,66.99617696605203,154.9957277,-0.536980571,-0.446592788,6.192797524,222.4050977,-0.083019468,20.28739926,19.59621348,19.1697908,19.02160416,,,,,8.863798657,2.037092767,0.043930002,22.3841422,,,8,-134447.9196,-63962.39977,1,-139794.35,66941.88,-99,P,rectangular_magnet,R19,1,I,19,E,-59.23327959,6.192797524,circular_magnet,Yel,1,TR,0.1061433243999999,0
20,S108402231319586768,30.59851884824494,-32.32169203,44.5030686,1.457850718,2.328946028,5.412089998,223.13194,0.3386229,18.11669922,17.4598999,17.16020012,17.0109005,0,17.497696,17.995373,16.795214,0,0,0,0,-0.980074772,-0.755641739,1,29818.44,31328.7754,0,30599.38,-32314.1,-99,P,rectangular_magnet,R20,1,I,20,H,-173.5286933,5.412089998,circular_magnet,Blu,1,TR,0.007640717,0
