PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 08 02 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,00 39 29.90,-09 36 52.2 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,15 55 21.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A0085_T030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901027306203598,-130.6313336329220,83.85386913305710,155.203632729046,-0.419128090695182,-0.570693568247284,0.151565477552102,9.31080215866162,-9.97000507801011,17.92942237854,17.5780372619629,17.5654836729694,17.3318519592285,0.0,0.0,0.0,0.0,8.83889031368645,5.35620069503784,0.0359680589056301,22.465196151263,,,4,-127418.312142474,-80344.1476302843,1,-130607.97,83843.46,-99,P,rectangular_magnet,R01,1,I,1.0,I,-65.98572932778970,0.151565477552102,circular_magnet,Yel,1,TR,0.0255775173599999,0.0
2,C901027164503775,-69.3333182757635,178.07108599227200,191.095911033911,0.468375666885036,-1.19967032211224,1.66804598899728,9.57687375799736,-10.3655326983268,17.0161437988281,16.2963447570801,16.0361942978219,15.7576837539673,0.0,0.0,0.0,0.0,10.2121012663449,4.41501760482788,0.0554093198494052,20.7638816371199,,,4,-67286.1306925969,-169733.389821849,1,-69303.8,178086.02,-99,P,rectangular_magnet,R02,1,I,2.0,D,-116.83594893913800,1.66804598899728,circular_magnet,Yel,1,TL,0.0330810095199999,0.0
3,C901027164504167,-65.17877155225910,128.2910732870830,143.87129859687,0.126858365607475,-1.10126222231419,1.22812058792167,9.59285270946371,-10.1601205681724,16.8794555664062,16.3965148925781,16.1808236339433,16.0612716674805,0.0,0.0,0.0,0.0,8.71216542200992,4.02998971939087,0.0134339509531856,20.6659092655432,,,8,-63674.887661201,-123310.248406966,1,-65097.57,128301.43,-99,P,rectangular_magnet,R03,1,I,3.0,L,-97.26844894523590,1.22812058792167,circular_magnet,Gre,1,TL,0.0818593524999998,0.0
4,C901027874604332,-129.24492300992700,-120.35819586106200,176.608391630745,2.32696183365598,0.74937432266839,1.57758751098759,9.32032946046374,-9.10415978886536,17.0927333831787,16.6750183105469,16.909021221027,16.3965530395508,0.0,0.0,0.0,0.0,8.68644491240662,12.0359401702881,0.0199725015926361,23.3202930934307,,,8,-125265.141935194,115336.887716429,1,-129297.69,-120302.25,-99,P,rectangular_magnet,R04,1,I,4.0,S,136.67490784348900,1.57758751098759,circular_magnet,Yel,1,TL,0.0769044511799999,0.0
5,C901027874704961,-69.19964357742900,-121.10526026902700,139.451405037839,2.07022529028469,1.05132140150845,1.01890388877624,9.57623468242861,-9.09838955414272,19.4603290557861,18.9165306091309,18.6254874159451,18.5932998657227,0.0,0.0,0.0,0.0,8.66549513893891,2.40896701812744,0.037098191678524,22.0685595607971,,,8,-67430.5617711346,116640.960763744,1,-69227.08,-121054.97,-99,P,rectangular_magnet,R05,1,I,5.0,K,151.38482822544200,1.01890388877624,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
6,C901027732603746,-22.78385502378930,-92.8648311344744,95.5690727285522,1.61536178380602,1.33005134333303,0.285310440472984,9.77594972199889,-9.21671133935219,17.0089473724365,16.2501316070557,15.9237257743305,15.6270933151245,0.0,0.0,0.0,0.0,10.3969323477176,4.20636653900146,0.0650372163170528,20.6125418589423,,,8,-22294.9628282511,89900.2373064044,1,-22786.17,-92812.92,-99,P,rectangular_magnet,R06,1,I,6.0,B,177.44658740119100,0.285310440472984,circular_magnet,Gre,1,TR,0.0519627269999999,0.0
7,C901027874901732,15.05290962413130,-138.84411276962600,139.60867085188,1.35366170161171,1.67890884989541,5.95793815889589,9.9399723339504,-9.02319501307464,18.8790702819824,18.3002662658691,18.0744417063406,17.965202331543,0.0,0.0,0.0,0.0,8.35563500886953,4.3349609375,0.0202249027788639,22.7280668895323,,,8,14774.1474727911,133634.92704513,1,15064.06,-138793.57,-99,P,rectangular_magnet,R07,1,I,7.0,P,-167.55910239084800,5.95793815889589,circular_magnet,Gre,1,TL,0.05175811476,0.0
8,C901027875003596,97.19240236186800,-168.7299380915100,194.714400705074,0.582355925042627,2.09394357237875,4.77159765984346,10.290505441868,-8.9028485285422,18.9353466033936,18.4309539794922,18.2478132255652,18.097469329834,0.0,0.0,0.0,0.0,7.92469188122192,5.30383014678955,0.0134262191131711,23.296776698719,,,8,93994.6298621657,160833.232549462,1,97281.05,-168671.56,-99,P,rectangular_magnet,R08,1,I,8.0,O,-123.36653667937900,4.77159765984346,circular_magnet,Yel,1,TR,0.1061433244000000,0.0
9,C901027875100636,121.46172001771100,-122.93494870499900,172.83792410329,4.34958896960439,2.34991031162719,1.99967865797719,10.3961089311945,-9.09329897945177,18.4990921020508,17.6417350769043,17.3207152589921,17.0336532592773,0.0,0.0,0.0,0.0,9.90048025636087,1.98395717144012,0.0594797482831001,20.3722712217022,,,1,117861.018449946,117791.430643899,1,121444.44,-122980.47,-99,P,rectangular_magnet,R09,1,I,9.0,R,20.786909425011900,1.99967865797719,circular_magnet,Yel,1,TL,0.04869073126,0.0
10,C901027732802244,82.48192078495720,-84.8941370717872,118.32101170052,1.20455726714459,2.34258793903741,5.14515463528677,10.2320445068176,-9.25224634319017,17.765007019043,17.1062679290771,17.0662706196952,16.6695175170898,0.0,0.0,0.0,0.0,9.41453491410132,3.46151423454285,0.0371621679514646,21.0454732201622,,,8,80782.4585407689,81869.3264390209,1,82519.48,-84796.21,-99,P,rectangular_magnet,R10,1,I,10.0,N,-159.01604758919700,5.14515463528677,circular_magnet,Gre,1,TR,0.10488282044,0.0
11,C901027590800781,185.411021125952,-50.90621265185370,192.277974859392,4.60159819136643,2.87345503643882,1.7281431549276,10.6677219661242,-9.39915331808862,18.1123275756836,17.2782936096191,17.0830209823169,16.6815567016602,0.0,0.0,0.0,0.0,9.89609656216531,3.48602151870728,0.0550376305885935,21.2328186094512,,,1,179245.564344069,48668.3501119717,1,185407.11,-50941.37,-99,P,rectangular_magnet,R11,1,I,11.0,Q,6.347844619670640,1.7281431549276,circular_magnet,Yel,1,TL,0.0353742283999999,0.0
12,C901027164800615,72.53656965931060,158.7537554324120,174.534194766904,2.8146600660532,4.28414382217841,4.81370155105437,10.1859598900394,-10.2866576592007,18.007453918457,17.3963069915771,17.1941250261226,16.9142150878906,0.0,0.0,0.0,0.0,9.68935253705459,8.48803901672363,0.0584026305602407,23.2832185093463,,,8,70367.3351488956,-151907.630979354,1,72479.7,158773.04,-99,P,rectangular_magnet,R12,1,I,12.0,C,108.73185745113800,4.81370155105437,circular_magnet,Yel,1,TR,0.0600504179599999,0.0
13,C901027306700841,129.87630256746200,96.59885341660830,161.807696530087,3.47619011908454,3.78120330722246,5.97817211904167,10.4337797146965,-10.0242670909596,18.7364807128906,18.0418796539307,17.7840526721754,17.5935440063477,0.0,0.0,0.0,0.0,8.2235383012328,4.28479862213135,0.0127865178510547,22.4444064140423,,,8,126374.6155214,-92607.3625568606,1,129822.88,96580.28,-99,P,rectangular_magnet,R13,1,I,13.0,J,70.82897739137680,5.97817211904167,circular_magnet,Yel,1,TR,0.05655919482,0.0
14,C901027306602730,97.33623647966600,72.69733425454300,121.512703459683,-0.511632564063501,3.78302724446704,1.98852549864905,10.29631592243,-9.92489196398639,18.2329864501953,17.5387058258057,17.3715258033496,17.0813903808594,0.0,0.0,0.0,0.0,9.65647869869666,4.30559825897217,0.0567331663571739,21.9517480315749,,,8,95307.7984691695,-70148.5838609238,1,97360.62,72706.58,-99,P,rectangular_magnet,R14,1,I,14.0,E,-60.6856134177047,1.98852549864905,circular_magnet,Gre,1,TL,0.0167343919199998,0.02
15,C901027448304428,-59.28555973322180,2.918734929363310,59.2823974568548,-0.417498385190765,-0.0487040246424648,5.91439094663129,9.6166822563024,-9.62663304453998,17.057014465332,16.2377281188965,16.3708467829096,15.6516103744507,0.0,0.0,0.0,0.0,10.1703116835477,8.79745578765869,0.0552371419647121,22.2023882652813,,,4,-58289.4100756569,-2742.06806603651,1,-59212.1,2886.15,-99,P,rectangular_magnet,R15,1,I,15.0,A,-66.07910457504200,5.91439094663129,circular_magnet,Blu,1,TL,0.0803623669799998,0.0
