PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 07 06 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.000866533,-0.999693777,0,0.999693777,-0.000866533,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,14 15 09.36,+02 20 33.0 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,09 05 01.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 07 10 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,G15_T262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W215021156812828,-135.4719338,-152.3926676,203.9091682,2.535540899,0.84383543,1.691705469,213.218877,2.985547439,18.63319171,18.29832536,18.1626198,18.42663877,0,0,0,0,8.727977257,3.506703662,0.039840002,22.26569538,,,8,-128847.8059,145328.7212,1,-135518.42,-152360.45,-99,P,rectangular_magnet,R01,1,I,1,J,124.7242076986682,1.691705469,circular_magnet,Mag,1,TL,0.056559195,0
2,W216021021710968,127.61009459716776,-115.5344427,172.1348984,0.961996866,2.406098804,4.839083369,214.3316373,2.830590332,18.25724487,17.50376659,17.14684946,16.92127163,0,0,0,0,9.845979128,2.593202173,0.054274291,20.81582315,,,4,122636.0351,110308.4149,1,127637.94,-115494.5,-99,P,rectangular_magnet,R02,1,I,2,R,-145.1183603,4.839083369,circular_magnet,Yel,1,TR,0.048690731,0
