#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
7,C901006647905821,105.9187109478850,63.12516379707100,123.212944352274,3.59296408068425,3.67911202644437,6.19703736141946,314.125321309157,-53.2109343851808,18.1693954467773,17.7748641967773,17.9685885852074,17.5695610046387,0.0,0.0,0.0,0.0,8.38081529047307,7.48195695877075,0.024534860625863,23.3878149060954,,,8,170024.615869462,-60733.9710508719,1,105837.63,63085.86,-99,P,rectangular_magnet,R07,1,I,7.0,T,64.13832223469070,6.19703736141946,circular_magnet,Gre,1,TR,0.0901049863999998,0.0
8,C901006647806125,43.87695018733350,53.79655580911430,69.4464863605964,-0.174335822570712,4.02813284437935,2.08071664022952,313.685530822983,-53.1734031628336,16.9911136627197,16.317699432373,16.0055986391295,15.8820486068726,0.0,0.0,0.0,0.0,10.0124890298267,2.55436897277832,0.0449299998581409,19.5969922656437,,,8,70631.9659940632,-52251.9148003972,1,43896.9,53813.35,-99,P,rectangular_magnet,R08,1,I,8.0,G,-80.01129314875660,2.08071664022952,circular_magnet,Blu,1,TL,0.0167343919199998,0.02
9,C901006561403243,104.63359642458200,137.58320522204300,172.826588298786,2.9298848291817,4.06249074513297,5.15057939122831,314.113765777794,-53.5243636037557,16.9502296447754,16.5205078125,16.2700619273696,16.3304138183594,0.0,0.0,0.0,0.0,8.01012350188892,3.56865572929382,0.0066842199303209,20.5259057606603,,,8,167413.06578136,-131568.974448781,1,104578.3,137595.09,-99,P,rectangular_magnet,R09,1,I,9.0,J,102.12996482848000,5.15057939122831,circular_magnet,Yel,1,TR,0.05655919482,0.0
10,C901006909903964,-153.32777386733400,-87.53687546683410,176.558377098271,2.13303500245398,0.518482126050181,1.6145528764038,312.307165302773,-52.5641732859324,17.0020408630371,16.2120590209961,15.8869615750043,15.6309185028076,0.0,0.0,0.0,0.0,10.1368447135028,4.50980567932129,0.0431583188474178,20.7257228486882,,,1,-240878.641573287,85434.0373792796,1,-153353.73,-87495.68,-99,P,rectangular_magnet,R10,1,I,10.0,R,147.78609680571000,1.6145528764038,circular_magnet,Yel,1,TL,0.04869073126,0.0
11,C901006822004801,-120.03704105401900,-47.679369894442000,129.146854402003,-0.795638071936949,0.378331206710361,5.10921602853228,312.528851877934,-52.7335643719919,17.0054836273193,16.1420783996582,15.7854902837401,15.5442714691162,0.0,0.0,0.0,0.0,10.2780972325927,2.00384449958801,0.0460607704832711,18.8942731653958,,,1,-190777.475586949,47151.6519298217,1,-120013.89,-47703.0,-99,P,rectangular_magnet,R11,1,I,11.0,I,-44.41329645808660,5.10921602853228,circular_magnet,Gre,1,TR,0.0330810095199999,0.0
12,C901006734505099,-105.37215410260200,6.275428805506850,105.535551050683,-0.910954946411884,-0.0592325016205075,5.43146286238821,312.624416462139,-52.9647119134474,17.4640560150146,16.6178932189941,16.295550902104,16.0512371063232,0.0,0.0,0.0,0.0,10.0868507605918,3.49856948852539,0.047529999166727,20.5802204221452,,,1,-169179.879556588,-5087.69243910982,1,-105350.47,6247.48,-99,P,rectangular_magnet,R12,1,I,12.0,Q,-37.80612624403300,5.43146286238821,circular_magnet,Gre,1,TR,0.0353742283999999,0.0
13,C901006647606037,-72.2872877539051,48.65321476241060,87.0783378229333,-0.514972438961397,-0.592462154145773,0.0774897151843756,312.855701853438,-53.1480608099127,17.9772052764893,17.6397132873535,17.5645364363,17.496000289917,0.0,0.0,0.0,0.0,8.41133928353495,3.73314118385315,0.0232483483850955,21.742960043297,,,8,-116909.381123008,-46524.5430402686,1,-72237.43,48625.0,-99,P,rectangular_magnet,R13,1,I,13.0,K,-60.494252681953500,0.0774897151843756,circular_magnet,Blu,1,TR,0.0572875941399999,0.0
14,C901006561106955,-53.90033706542040,126.35416710331000,137.36320887284,0.118856310378599,-1.16776571134734,1.28662202172594,312.983729494362,-53.4787482853909,16.0932712554932,15.2581186294556,14.8878540748222,14.5651798248291,0.0,0.0,0.0,0.0,10.5802369786016,6.33135461807251,0.0443840385070661,20.508476505997,,,8,-87975.1342740777,-121259.912498335,1,-53874.94,126357.2,-99,P,rectangular_magnet,R14,1,I,14.0,B,-96.80996495319070,1.28662202172594,circular_magnet,Gre,1,TL,0.0255775173599999,0.0
15,C901006561207644,11.809009545082600,152.1175422244170,152.576377700566,-0.0522495924839905,4.63461593911477,1.59631977558082,313.453355798668,-53.5888799648326,17.8507308959961,17.1021194458008,16.7569150951002,16.5925712585449,0.0,0.0,0.0,0.0,9.72461303003176,1.81204998493195,0.0449168533086776,19.6358449945732,,,8,18160.4104988769,-146149.672052176,1,11854.37,152115.17,-99,P,rectangular_magnet,R15,1,I,15.0,M,-87.00631886938890,1.59631977558082,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
16,C901006561303679,48.73731703516980,145.538386376272,153.539691897532,0.457442923845084,4.38887183819727,2.3517563928274,313.717857984872,-53.5611539128022,18.882999420166,18.3970890045166,18.2156255915415,18.1169853210449,0.0,0.0,0.0,0.0,8.61339720980437,2.88758015632629,0.0328883118927478,21.9426339294837,,,8,77937.9045810255,-139883.584293295,1,48810.76,145574.54,-99,P,rectangular_magnet,R16,1,I,16.0,L,-116.20954890444800,2.3517563928274,circular_magnet,Yel,1,TL,0.0818593524999998,0.0
17,C901006734500240,-134.6691443314820,4.393759828564950,134.676819277006,-0.946998784890164,-0.0319978252422555,5.36818434753168,312.420554224532,-52.9543793443546,17.2000274658203,16.3784637451172,16.3274284768489,15.8359174728394,0.0,0.0,0.0,0.0,9.96370759866252,4.10198974609375,0.0429700016975402,20.6863112789054,,,1,-215252.745255805,-2752.53182414916,1,-134607.88,4308.63,-99,P,rectangular_magnet,R17,1,I,17.0,N,-35.74096642177630,5.36818434753168,circular_magnet,Gre,1,TR,0.10488282044,0.0
18,C901006822203870,-8.560759858399590,-41.31769339458600,42.1268513145167,1.56377271764321,1.36616905011304,0.197603667530163,313.313377637428,-52.7646426480201,16.3822555541992,15.6378602981567,15.3443747029652,15.0945253372192,0.0,0.0,0.0,0.0,10.3901154615863,8.05837249755859,0.0482500551558338,21.4119716735947,,,8,-13474.6539413716,40127.9615474621,1,-8560.27,-41247.95,-99,P,rectangular_magnet,R18,1,I,18.0,C,-179.59757683865900,0.197603667530163,circular_magnet,Blu,1,TR,0.0697451148799999,0.0
19,C901006910205837,32.58741491130290,-100.93473548883600,106.095909192204,4.09638031232579,1.88269753125193,2.21368278107386,313.604846296228,-52.5104501484679,15.7756652832031,14.9487018585205,14.5897488818454,14.358980178833,0.0,0.0,0.0,0.0,10.6883365067386,3.22069931030273,0.0435799055700496,18.7313274416408,,,8,52397.2629475953,97575.4664462441,1,32557.51,-100976.98,-99,P,rectangular_magnet,R19,1,I,19.0,S,35.294696823250200,2.21368278107386,circular_magnet,Gre,1,TL,0.05175811476,0.0
20,S487599447,41.387108325871000,8.316846181581080,42.2203049162805,-0.506428120436676,3.33978674695196,2.43697043979095,313.668229,-52.978316,16.3476,16.0204,15.8231,15.7644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.94836723120336,-0.18688960674148,2,66721.7540000014,-8162.21599999996,0,41393.79,8313.14,-99,P,rectangular_magnet,R20,1,I,20.0,H,-60.983806072235500,2.43697043979095,circular_magnet,Blu,1,TR,0.0076407166599999,0.0
21,S487598790,26.768040408316600,-38.61514690523410,46.9851308568456,3.73222965782078,2.17611876672455,1.55611089109623,313.564429,-52.776363,16.3332,16.0777,15.8869,15.8517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27.68463587232,-11.12276899031,5,43262.9540000063,37479.1619999992,0,26735.82,-38636.75,-99,P,rectangular_magnet,R21,1,I,21.0,U,56.15899243331390,1.55611089109623,circular_magnet,Blu,1,TL,0.0387923757399998,0.0
22,G487597860,0.1962679178837750,0.0036105141943969,0.174237865574622,-0.347652884554707,3.10640360176628,2.8291288208586,313.374787,-52.94217,,14.2442,,,,,,,,,,,6.06236858441203,0.689496614950622,-99,403.862000008075,6.78000000054624,2,174.13,-6.13,-99,G,rectangular_magnet,R22,1,I,22.0,GS1,-70.08095697946650,2.8291288208586,circular_magnet,Blu,1,TR,-0.017495,-0.0167
23,G487598568,10.861330862595800,-107.58900174429800,108.125467365649,1.48939005303286,1.67151452866703,6.10106083154542,313.452218,-52.48197,,14.2294,,,,,,,,,,,25.4772109176661,-21.6864762151825,-99,17903.2680000058,104011.980000001,2,10871.8,-107577.51,-99,G,rectangular_magnet,R23,1,I,23.0,GS2,-175.33576408754900,6.10106083154542,circular_magnet,Gre,1,TL,0.012305,-0.0095
24,G487599109,87.06914780446660,-53.72155422187300,102.307581977189,4.08805156486706,2.58901661747684,1.49903494739022,313.989679,-52.712194,,14.4816,,,,,,,,,,,13.5193827733843,-13.6001038896636,-99,139369.454000008,51981.3560000007,2,87081.68,-53699.37,-99,G,rectangular_magnet,R24,1,I,24.0,GS3,35.771898901265800,1.49903494739022,circular_magnet,Gre,1,TL,-0.025325,-0.0028
25,G487596913,58.869751182682700,88.41790408574920,106.219511113944,3.29911016797407,4.12528250755185,5.45701296760181,313.79157,-53.320766,,14.1484,,,,,,,,,,,7.32391061586593,5.12480303359771,-99,94596.8199999974,-85555.9159999998,2,58840.76,88432.74,-99,G,rectangular_magnet,R25,1,I,25.0,GS4,80.97491122638970,5.45701296760181,circular_magnet,Gre,1,TR,0.026305,-0.0192
26,G487597171,-79.57734202072650,-56.59797566444520,97.6289351304279,3.57206656525724,0.618459480479946,2.95360708477729,312.812559,-52.696922,,14.4393,,,,,,,,,,,-9.86556246128357,-12.1757816225645,-99,-126659.665999993,55432.8279999998,2,-79545.38,-56603.37,-99,G,rectangular_magnet,R26,1,I,26.0,GS5,65.33566167096790,2.95360708477729,circular_magnet,Gre,1,TR,-0.026795,0.01824
27,G487596133,-34.794528636559700,85.02382903997510,91.8449410681481,3.40039435330865,-1.18198314407986,4.58237749738851,313.120995,-53.305069,,14.4353,,,,,,,,,,,7.22560634443509,-6.11412178622396,-99,-56953.1299999993,-82008.3940000008,2,-34817.54,84989.6,-99,G,rectangular_magnet,R27,1,I,27.0,GS6,75.17175487529740,4.58237749738851,circular_magnet,Blu,1,TR,0.0310049999999999,0.0272
22,Sky-A1-1,-82.44066,-226.46104,0.0,0.0,0.0,0.0,312.8213498,-51.995616776,,,,,,,,,,,,,,,-99,,,-99,-82440.66,-226461.04,1,S,,,-99,,,,,,,,-99,,,
23,Sky-A1-2,-93.24117,-222.23219,0.0,0.0,0.0,0.0,312.7478869,-52.012688243,,,,,,,,,,,,,,,-99,,,-99,-93241.17,-222232.19,1,S,,,-99,,,,,,,,-99,,,
24,Sky-A1-3,-103.8257,-217.48859,0.0,0.0,0.0,0.0,312.6757839,-52.031872789,,,,,,,,,,,,,,,-99,,,-99,-103825.7,-217488.59,1,S,,,-99,,,,,,,,-99,,,
25,Sky-A1-4,-116.53835,-216.64444,0.0,0.0,0.0,0.0,312.5906573,-52.035890501,,,,,,,,,,,,,,,-99,,,-99,-116538.35,-216644.44,0,S,,,-99,,,,,,,,-99,,,
26,Sky-A1-5,-124.24934,-206.50222,0.0,0.0,0.0,0.0,312.5362911,-52.076409196,,,,,,,,,,,,,,,-99,,,-99,-124249.34,-206502.22,1,S,,,-99,,,,,,,,-99,,,
27,Sky-A1-6,-134.04112,-200.2849,0.0,0.0,0.0,0.0,312.469211,-52.101663624,,,,,,,,,,,,,,,-99,,,-99,-134041.12,-200284.9,1,S,,,-99,,,,,,,,-99,,,
28,Sky-A1-7,-143.52243,-193.60365,0.0,0.0,0.0,0.0,312.4041094,-52.128836529,,,,,,,,,,,,,,,-99,,,-99,-143522.43,-193603.65,1,S,,,-99,,,,,,,,-99,,,
29,Sky-A2-1,-240.9813,-3.01251,0.0,0.0,0.0,0.0,311.7082759,-52.913852899,,,,,,,,,,,,,,,-99,,,-99,-240981.3,-3012.51,1,S,,,-99,,,,,,,,-99,,,
30,Sky-A2-2,-236.84956,8.4431,0.0,0.0,0.0,0.0,311.73294,-52.962030062,,,,,,,,,,,,,,,-99,,,-99,-236849.56,8443.1,3,S,,,-99,,,,,,,,-99,,,
31,Sky-A2-3,-240.15512,20.16382,0.0,0.0,0.0,0.0,311.7097286,-53.010448116,,,,,,,,,,,,,,,-99,,,-99,-240155.12,20163.82,1,S,,,-99,,,,,,,,-99,,,
32,Sky-A2-4,-238.90682,31.69534,0.0,0.0,0.0,0.0,311.7162542,-53.058599411,,,,,,,,,,,,,,,-99,,,-99,-238906.82,31695.34,1,S,,,-99,,,,,,,,-99,,,
33,Sky-A2-5,-235.13733,42.7953,0.0,0.0,0.0,0.0,311.7394567,-53.105317381,,,,,,,,,,,,,,,-99,,,-99,-235137.33,42795.3,2,S,,,-99,,,,,,,,-99,,,
34,Sky-A2-6,-234.75423,54.51158,0.0,0.0,0.0,0.0,311.7408904,-53.154048703,,,,,,,,,,,,,,,-99,,,-99,-234754.23,54511.58,1,S,,,-99,,,,,,,,-99,,,
35,Sky-A2-7,-229.9353,65.19784,0.0,0.0,0.0,0.0,311.7715541,-53.199200425,,,,,,,,,,,,,,,-99,,,-99,-229935.3,65197.84,2,S,,,-99,,,,,,,,-99,,,
36,Sky-A3-1,-66.38214,231.67752,0.0,0.0,0.0,0.0,312.8972986,-53.904337771,,,,,,,,,,,,,,,-99,,,-99,-66382.14,231677.52,1,S,,,-99,,,,,,,,-99,,,
