PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 02 08 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.000866533,-0.999693777,0,0.999693777,-0.000866533,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,14 14 17.91,+02 30 18.2 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,17 07 46.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 03 09 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,G15_T261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W215020723312900,1.140844559384694,-113.8319897,113.7922882,1.594455548,1.580812727,0.013642822,213.5805993,2.991612764,17.97354195,17.30075596,17.01042648,16.83546263,0,0,0,0,9.148041736,3.288412518,0.025272051,21.12856211,,,8,1353.324915,109962.9587,1,1139.77,-113786.58,-99,P,rectangular_magnet,R01,1,I,1,M,178.6444264581993,0.013642822,circular_magnet,Gre,1,TR,0.045422443,0
2,W215021156812828,-83.62830808,-112.6511279,140.2672348,1.894156256,0.931868476,0.96228778,213.218877,2.985547439,18.63319171,18.29832536,18.1626198,18.42663877,0,0,0,0,8.727977257,3.506703662,0.039840002,22.26569538,,,8,-80395.91694,108592.1952,1,-83646.28,-112597.5,-99,P,rectangular_magnet,R02,1,I,2,J,161.47284080843883,0.96228778,circular_magnet,Gre,1,TL,0.056559195,0
