PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 08 08 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,20 50 46.56,-52 56 06.0 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,12 07 49.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 02 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A3716_T039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901006909804224,-117.23829276816600,-126.69035910858900,172.611106190772,2.35739366819686,0.823827266895488,1.53356640130137,311.883158389645,-52.3933223405874,17.1837329864502,16.3346633911133,15.8083956994728,15.7456369400024,0.0,0.0,0.0,0.0,10.2129220859734,1.86182141304016,0.0437215492129325,18.9272281772062,,,4,-183250.203940127,122419.151027251,1,-117275.08,-126653.66,-99,P,rectangular_magnet,R01,1,I,1.0,T,134.93129216145600,1.53356640130137,circular_magnet,Yel,1,TL,0.0519627269999999,0.0
2,C901006909900433,-77.74068050016500,-108.72811477056900,133.641328787995,2.15947167843092,0.949672573901589,1.20979910452933,312.152839974764,-52.4689661144613,18.0949745178223,17.7021217346191,17.5602633945752,17.4801788330078,0.0,0.0,0.0,0.0,8.7268344040866,4.47998857498169,0.0304000005125999,22.2013809485899,,,8,-122302.165703354,105323.658131738,1,-77772.49,-108680.47,-99,P,rectangular_magnet,R02,1,I,2.0,K,146.27138684787600,1.20979910452933,circular_magnet,Gre,1,TL,0.0572875941399999,0.0
3,C901006909908311,-28.711215280823300,-86.91765097975240,91.4417164780714,1.70901879069641,1.2512417590939,0.457777031602516,312.494195291005,-52.5625418525307,16.0689754486084,15.3010110855103,15.0605512348375,14.717734336853,0.0,0.0,0.0,0.0,10.5195742510509,5.39718008041382,0.0486551378390986,20.2047203113657,,,8,-45155.8642328515,84175.5413280704,1,-28725.84,-86812.52,-99,P,rectangular_magnet,R03,1,I,3.0,A,172.08043618454400,0.457777031602516,circular_magnet,Blu,1,TR,0.1061433244000000,0.0
4,C901006822102698,20.497155654423000,-65.24759412729920,68.4175741202931,4.0135102300364,1.87457834516036,2.13893188487604,312.840701041365,-52.6551231159703,17.4296493530273,16.553150177002,16.2141060517618,15.9472007751465,0.0,0.0,0.0,0.0,10.0732743897235,2.85690474510193,0.0439837615928283,20.07550366064,,,1,33154.4353485716,63252.17579071,1,20465.83,-65284.87,-99,P,rectangular_magnet,R04,1,I,4.0,R,40.04280278633410,2.13893188487604,circular_magnet,Blu,1,TL,0.04869073126,0.0
5,C901006910101704,45.0391707897581,-93.22996415110700,103.481000823891,1.24010853788023,2.02138754345312,5.5019063016067,313.013862087614,-52.5366422443841,18.6359596252441,17.8096084594727,17.2332882014733,17.2633533477783,0.0,0.0,0.0,0.0,9.65300080693829,2.05603766441345,0.0481088645756244,20.6176384722432,,,1,72288.8318008311,90028.8527692041,1,45065.75,-93152.54,-99,P,rectangular_magnet,R05,1,I,5.0,L,-161.05298535867700,5.5019063016067,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
6,C901006998608072,74.53964284480630,-164.0104780976070,180.149314636234,0.757677036240636,1.99745194898164,5.04341039443858,313.21392158567,-52.2411512925408,17.3694095611572,16.8306846618652,16.5893552164843,16.4397239685059,0.0,0.0,0.0,0.0,9.74074417629035,4.45952892303467,0.0507865902036428,21.3200042684036,,,8,117502.27836135,156809.807885778,1,74550.93,-163999.8,-99,P,rectangular_magnet,R06,1,I,6.0,P,-133.41169641056900,5.04341039443858,circular_magnet,Yel,1,TR,0.0155377488999999,0.0
7,C901006910205837,130.18508636273400,-99.7997829234716,164.028086170074,1.09095276614327,2.48786319126909,4.88627488205377,313.604846296228,-52.5104501484679,15.7756652832031,14.9487018585205,14.5897488818454,14.358980178833,0.0,0.0,0.0,0.0,10.6883365067386,3.22069931030273,0.0435799055700496,18.7313274416408,,,8,205851.262947589,95948.2664462447,1,130208.98,-99753.87,-99,P,rectangular_magnet,R07,1,I,7.0,M,-152.50698914813200,4.88627488205377,circular_magnet,Yel,1,TR,0.05175811476,0.0
8,C901006822207338,107.54558343913500,-42.570404840709800,115.65083789387,4.10457120315519,2.76417568993218,1.34039551322301,313.454261830936,-52.7523674630183,17.763557434082,17.4794006347656,17.3725546058727,17.3367576599121,0.0,0.0,0.0,0.0,8.49538243636263,8.62333393096924,0.0233600009232759,23.4006513369782,,,8,171819.173791543,41274.9533578738,1,107511.29,-42619.7,-99,P,rectangular_magnet,R08,1,I,8.0,N,34.82539334827320,1.34039551322301,circular_magnet,Gre,1,TL,0.0600504179599999,0.0
9,C901006822201898,75.198112510235,-33.59166560040790,82.3486317173327,3.94391826522968,2.72110139308677,1.22281687214291,313.227702335222,-52.7910941480654,17.6120986938477,16.6900901794434,16.3162771734014,16.0062503814697,0.0,0.0,0.0,0.0,10.0918046319131,3.21204876899719,0.0451412290031659,20.4668755142393,,,1,120616.727760112,32522.7225372159,1,75175.12,-33615.45,-99,P,rectangular_magnet,R09,1,I,9.0,S,44.030128657782100,1.22281687214291,circular_magnet,Blu,1,TL,0.0330810095199999,0.0
10,C901006647707948,93.36161565187160,91.14430566357800,130.449555817903,3.29303159843765,3.91492397280278,5.66129293281445,313.35749240803,-53.323278453793,18.0957832336426,17.2970695495605,16.9715992866707,16.7824153900146,0.0,0.0,0.0,0.0,9.73554312634986,2.5287070274353,0.0457095876336097,20.5544368087442,,,4,149949.28421466,-87750.9305572098,1,93348.09,91122.01,-99,P,rectangular_magnet,R10,1,I,10.0,O,81.32318760630340,5.66129293281445,circular_magnet,Gre,1,TR,0.0167343919199998,0.02
11,C901006909705055,-167.56107926636300,-74.94134521568550,183.569268695914,-1.3192822086786,0.420975911655466,4.54292718684552,311.529440761711,-52.6090867571244,17.1317386627197,16.2551803588867,15.8499686603555,15.4983568191528,0.0,0.0,0.0,0.0,10.2600605099285,18.5101451873779,0.0480791330337524,23.8351041667555,,,4,-263190.387853218,73656.3928898761,1,-167541.94,-75015.83,-99,P,rectangular_magnet,R11,1,I,11.0,C,-14.41069745601870,4.54292718684552,circular_magnet,Yel,1,TR,0.0769044511799999,0.0
12,C901006647403868,-105.58367770371300,52.79611149076050,117.967786603312,-0.513002586591709,-0.463646395887,6.23382911647488,311.940815006233,-53.156098811424,15.8353443145752,15.1463556289673,15.1422228321673,14.6411914825439,0.0,0.0,0.0,0.0,10.3743174811587,10.6482582092285,0.048223724956369,21.5256231796301,,,8,-170219.808591312,-49968.3313818271,1,-105513.66,52756.67,-99,P,rectangular_magnet,R12,1,I,12.0,E,-60.60711690900050,6.23382911647488,circular_magnet,Gre,1,TR,0.0803623669799998,0.0
13,C901006821807078,-124.86969802831600,-41.20201533600840,131.472250276922,-0.970327650579352,0.319221133663929,4.9936365229363,311.815639075414,-52.7535670581534,16.1942501068115,15.2593088150024,14.9583422927266,14.5531845092773,0.0,0.0,0.0,0.0,10.6550865188126,6.42866945266724,0.0435394861663999,20.5427889763205,,,8,-198509.568956344,41003.84485734,1,-124830.29,-41259.56,-99,P,rectangular_magnet,R13,1,I,13.0,D,-34.40432087695830,4.9936365229363,circular_magnet,Gre,1,TR,0.0697451148799999,0.0
14,C901006734407797,-51.608853692771500,27.177317956722100,58.2730205208225,-0.765947022253746,-0.484432523711159,6.001670808637,312.324820888674,-53.0500391332178,18.9630737304688,18.2224597930908,17.8807007348113,17.7493743896484,0.0,0.0,0.0,0.0,7.44841237884103,2.76174545288086,0.0052899997681379,21.6712527129769,,,8,-83434.4791596226,-25998.8441072226,1,-51568.09,27138.11,-99,P,rectangular_magnet,R14,1,I,14.0,J,-46.11446829424740,6.001670808637,circular_magnet,Blu,1,TR,0.05655919482,0.0
15,C901006560902405,-103.71158611895500,133.4066431648160,168.928046382635,0.168573401862432,-0.910529851125215,1.07910325298765,311.95188517034,-53.4963651938718,17.6126747131348,16.9286270141602,16.5900422370853,16.4891757965088,0.0,0.0,0.0,0.0,9.73324646847207,3.03729128837585,0.0424616634845733,20.5839339183579,,,8,-167717.95150306,-126868.533815021,1,-103608.19,133424.24,-99,P,rectangular_magnet,R15,1,I,15.0,G,-99.65854446488020,1.07910325298765,circular_magnet,Yel,1,TL,0.10488282044,0.0
