PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 10 04 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.0008665329382,-0.9996937766,0,0.9996937766,-0.0008665329382,0,1,0,0,0,13366713.7,1089450000,6.21E+11,3.312E+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,02 44 22.08,-32 01 47.6 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,16 09 06.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 09 30 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,H03_T077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,W41691060304604,-130.16663930288400,-149.12819378479900,197.994429997796,-1.28642521827379,0.853568392058937,4.14319169684686,40.4482906412058,-31.399227471866,15.4450385250641,14.5963303112015,14.2001587635955,13.9584893137186,0.0,0.0,0.0,0.0,11.2290413537314,5.55872225065458,0.0619000010192394,19.5640798651789,,,4,-145478.315087489,142531.991358284,1,-130141.36,-149214.68,-99,P,rectangular_magnet,R01,1,I,1.0,D,-16.293264333716100,4.14319169684686,circular_magnet,Mag,1,TR,0.0901049863999998,0.0
2,W42691088805508,86.72961657409900,-166.94395403974900,188.113934308325,0.618167045981136,2.05048466139442,4.8508676917663,41.520769693667,-31.3238174412484,19.2029174306132,18.8250263957993,18.6437555179727,18.5501979033252,0.0,0.0,0.0,0.0,8.620283582009,2.54727579142383,0.0408999994397163,22.0982809185862,,,8,96901.950768742,159574.658277861,1,86815.09,-166883.17,-99,P,rectangular_magnet,R02,1,I,2.0,N,-125.4183627687890,4.8508676917663,circular_magnet,Yel,1,TR,0.10488282044,0.0
3,W41680251313642,109.6987799128550,-113.61936763558400,157.937076055845,0.72552072893013,2.33908143460955,4.66962460150017,41.6387782976454,-31.5458097644085,16.8039190142539,16.3699264544175,16.1694862174486,16.0578376617531,0.0,0.0,0.0,0.0,9.2254786335681,5.66418064502292,0.02449999935925,21.3784866144039,,,8,123571.895267861,109404.393243679,1,109750.96,-113573.09,-99,P,rectangular_magnet,R03,1,I,3.0,J,-131.5692757169520,4.66962460150017,circular_magnet,Yel,1,TR,0.0697451148799999,0.0
4,W41690047301042,69.08768312711960,-78.1167129441255,104.279130568192,1.10079347556342,2.29507310763663,5.08890567510637,41.4392664400638,-31.694934935704,18.0883676486948,17.4621965564389,17.2221148140123,16.9777628994408,0.0,0.0,0.0,0.0,8.90428149777452,3.62282276238376,0.0227358657866716,21.5003066770448,,,8,78482.2154544184,75702.1045308952,1,69094.72,-78102.86,-99,P,rectangular_magnet,R04,1,I,4.0,P,-153.0708202653210,5.08890567510637,circular_magnet,Gre,1,TR,0.0155377488999999,0.0
5,W40680206010487,-121.04167092983200,-51.60427400681760,131.579594261369,-1.10165451524734,0.40339317334032,4.77813761859193,40.4844557334739,-31.8085434067167,17.9051557687618,17.4341049135645,17.1158152712263,17.01836935622,0.0,0.0,0.0,0.0,9.6309642238966,2.13584736390918,0.0541555732488632,20.3248306606298,,,4,-137305.004234898,50026.590082025,1,-121018.27,-51650.44,-99,P,rectangular_magnet,R05,1,I,5.0,F,-26.879845794796800,4.77813761859193,circular_magnet,Gre,1,TR,0.05175811476,0.0
6,W41681152007566,-66.47683106712740,5.261276131169500,66.636783736687,-0.638661287251125,-0.078529252144607,5.72305327207307,40.7556445584867,-32.0520999599353,18.1385894601757,17.7907443870534,17.7884857905992,17.7166246955362,0.0,0.0,0.0,0.0,7.94901268265951,1.66046369168948,0.0149026634171605,20.1347659867645,,,4,-76016.3297820054,-5017.19094537775,1,-66431.42,5227.56,-99,P,rectangular_magnet,R06,1,I,6.0,I,-53.40740370211820,5.72305327207307,circular_magnet,Blu,1,TR,0.05655919482,0.0
7,W41681143802428,-65.32411759705120,105.59726581549800,124.194658691899,3.23784956641672,-1.01638742163246,4.25423698804918,40.7616527269505,-32.4802764280106,18.37673361213,17.9617212288345,17.8353912473195,17.7078781428473,0.0,0.0,0.0,0.0,8.38912767635405,4.54986046694573,0.0217000003904104,22.4945863011469,,,8,-74658.4837091864,-101785.072730396,1,-65381.14,105591.76,-99,P,rectangular_magnet,R07,1,I,7.0,K,84.48488514605840,4.25423698804918,circular_magnet,Gre,1,TR,0.0572875941399999,0.0
8,W40680244902565,-127.8756765402700,103.75876841993600,164.645864372232,-0.231760486158492,-0.681743081046513,0.449982594888022,40.4495515951402,-32.468821071229,17.9447536903776,17.5680830811885,17.3873199200359,17.3112234582796,0.0,0.0,0.0,0.0,9.16745794047555,2.53111448972887,0.0431665927171707,20.8275167129998,,,8,-145193.339498315,-99196.1620977548,1,-127843.48,103751.17,-99,P,rectangular_magnet,R08,1,I,8.0,S,-76.72110228521830,0.449982594888022,circular_magnet,Yel,1,TR,0.0330810095199999,0.0
9,W41670393210190,-77.54731686181630,191.22075623095600,206.376511218816,2.86825781828287,-1.18533820999459,4.05359602827745,40.7043205054121,-32.8338420405508,16.3048274896984,16.0850829399058,16.0155313427855,15.9993588418901,0.0,0.0,0.0,0.0,9.0443934983619,3.59374731386233,0.0245384518057107,20.1056953087485,,,4,-87615.5657768654,-181690.901164481,1,-77594.2,191233.9,-99,P,rectangular_magnet,R09,1,I,9.0,R,105.66093245699000,4.05359602827745,circular_magnet,Mag,1,TR,0.04869073126,0.0
10,W42670673710642,106.83689469813400,182.84368815167100,211.782338126007,2.43325586461316,4.1839454715544,4.53249570023834,41.6261218687227,-32.7965417928346,17.1556492671035,16.6322601092819,16.3526736087482,16.2097143374921,0.0,0.0,0.0,0.0,9.82901446982194,2.35559180049277,0.0471536330878734,19.7356349606568,,,4,120711.54233133,-173261.045180621,1,106778.49,182893.72,-99,P,rectangular_magnet,R10,1,I,10.0,G,130.5847084822100,4.53249570023834,circular_magnet,Mag,1,TR,0.0769044511799999,0.0
11,W41680398402743,80.30021561609890,99.76584075455070,128.025514545814,3.24403170156724,4.0350087365757,5.49220827217112,41.4978945195565,-32.4544364620654,18.0632699064503,17.6645175068733,17.4641423879073,17.3441612439178,0.0,0.0,0.0,0.0,9.13111208864223,6.86784893101975,0.0414243601262569,23.0914958566776,,,8,91732.16141977,-95945.2404267814,1,80240.48,99759.7,-99,P,rectangular_magnet,R11,1,I,11.0,B,84.13067489355420,5.49220827217112,circular_magnet,Gre,1,TR,0.0600504179599999,0.0
12,W41680124305630,134.19793447578600,43.57870178316860,141.025226786771,3.97259236836225,3.45529750596069,0.51729486240156,41.7670690987208,-32.2129425109611,18.1155841150157,17.7973484227577,17.6532910536047,17.545535111433,0.0,0.0,0.0,0.0,8.46345750299497,2.69238624800618,0.023199999704957,21.1909099226406,,,4,152565.616310902,-41367.6074772089,1,134142.75,43518.24,-99,P,rectangular_magnet,R12,1,I,12.0,L,42.387223566963,0.51729486240156,circular_magnet,Gre,1,TR,0.0818593524999998,0.0
13,W43681117707581,179.82254033174700,5.9032082953619200,179.909604108924,4.52750027737666,3.17416232064141,1.35333795673525,41.9893725963591,-32.0509631676393,17.2426899328635,16.9142157901926,16.7717514494014,16.6552322263727,0.0,0.0,0.0,0.0,8.52906353566817,2.84501890386169,0.016499999910593,20.4275162540817,,,4,202806.206777156,-4760.27588648292,1,179814.19,5858.56,-99,P,rectangular_magnet,R13,1,I,13.0,M,10.593342362007800,1.35333795673525,circular_magnet,Yel,1,TL,0.0454224428999999,0.0
14,W41680059612111,147.63177115587100,-83.64705231594790,169.691485483163,4.57823053099991,2.62595989524383,1.95227063575608,41.8270764057136,-31.6725993667038,18.3625476796756,18.0171457326134,17.920453105852,17.7846464631468,0.0,0.0,0.0,0.0,8.39751721207402,5.24247541249811,0.0247413050383329,22.8577024257329,,,4,166127.267691273,80749.9431249408,1,147628.35,-83672.4,-99,P,rectangular_magnet,R14,1,I,14.0,C,7.686712935767330,1.95227063575608,circular_magnet,Yel,1,TL,0.0255775173599999,0.0
15,W41670526711259,-103.95088081523100,169.89871024693900,199.201719435282,2.905048498095,-1.02159062924886,3.92663912734385,40.5717485516764,-32.7450124280989,17.775054659677,17.2099932641778,16.9773150188262,16.9503092775486,0.0,0.0,0.0,0.0,8.91752327790772,2.19043814185801,0.0217959322035312,20.1555229118017,,,8,-117576.827321133,-161615.408750353,1,-103985.27,169907.0,-99,P,rectangular_magnet,R15,1,I,15.0,Q,103.55298177833800,3.92663912734385,circular_magnet,Mag,1,TR,0.0353742283999999,0.0
