PROXIMITY,220 # tiling proximity value in arcseconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TILING_DATE,2024 04 15 # Date the tile was created/configured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBS_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBOT_TEMP,287.149994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDLPARS,0,-0.000866533,-0.999693777,0,0.999693777,-0.000866533,0,1,0,0,0,13366713.7,1089450000,6.21e+11,3.312e+14,-902.1087564,2624.396187,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
EQUINOX,J2000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CENTRE,20 11 41.04,-56 38 17.2 #Field centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTTIME,17 14 58.00 #Target observing time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTDATE,2024 06 06 #Target observing date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLATEID,A3667_T059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LABEL,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#probe,ID,x,y,rads,angs,azAngs,angs_azAng,RA,DEC,g_mag,r_mag,i_mag,z_mag,y_mag,GAIA_g_mag,GAIA_bp_mag,GAIA_rp_mag,Mstar,Re,z,GAL_MU_E_R,pmRA,pmDEC,priority,MagnetX_noDC,MagnetY_noDC,type,MagnetX,MagnetY,SkyPosition,fibre_type,Magnet,Label,order,Pickup_option,Index,Hexabundle,probe_orientation,rectMag_inputOrientation,Magnet_C,Label_C,order_C,Pickup_option_C,offset_P,offset_Q
1,C901005722110249,-120.9137874,-125.1469609,174.0166409,2.352178186,0.802510972,1.549667215,302.006832,-56.10193454,17.87576103,17.16659546,16.98730287,16.66897583,0,0,0,0,9.832804642,3.627803326,0.05923295,21.20768881,,,8,-206601.9678,121177.9138,1,-120924.73,-125135.93,-99,P,rectangular_magnet,R01,1,I,1,P,135.23011726191464,1.549667215,circular_magnet,Yel,1,TL,0.015537749,0
2,C901005722300830,-49.8781678,-166.7997878,174.0516542,2.253778779,1.279840629,0.97393815,302.5494581,-55.9299063,17.29696274,16.80429077,16.53123854,16.52232742,0,0,0,0,9.709052597,3.024158001,0.054813176,20.45018784,,,8,-83968.47137,160056.2959,1,-49929.83,-166736.29,-99,P,rectangular_magnet,R02,1,I,2,L,140.86798799866432,0.97393815,circular_magnet,Yel,1,TL,0.081859352,0
